new_id,batch,timestamp,old_run,new_run,old_config,new_config
132,4,2026-08-03T13:32:09.684210,069_r3d_es_refit_s42_v2_dev_p5,132_r3d_es_refit_s42_v2_dev_p5,069_r3d_es_refit_s42,132_r3d_es_refit_s42
133,4,2026-08-03T13:50:54.927196,070_r3d_es_refit_uf1_s42_v2_dev_p5,133_r3d_es_refit_uf1_s42_v2_dev_p5,070_r3d_es_refit_uf1_s42,133_r3d_es_refit_uf1_s42
134,4,2026-08-03T14:08:09.451088,071_r3d_es_refit_llrd_s42_v2_dev_p5,134_r3d_es_refit_llrd_s42_v2_dev_p5,071_r3d_es_refit_llrd_s42,134_r3d_es_refit_llrd_s42
135,4,2026-08-03T14:22:51.396007,072_r3d_lastk5_s42_v2_dev_p5,135_r3d_lastk5_s42_v2_dev_p5,072_r3d_lastk5_s42,135_r3d_lastk5_s42
136,5,2026-08-03T14:39:20.663996,073_r3d_lastk8_s42_v2_dev_p5,136_r3d_lastk8_s42_v2_dev_p5,073_r3d_lastk8_s42,136_r3d_lastk8_s42
137,5,2026-08-03T15:02:13.041392,074_r3d_lastk8_ep40_s42_v2_dev_p5,137_r3d_lastk8_ep40_s42_v2_dev_p5,074_r3d_lastk8_ep40_s42,137_r3d_lastk8_ep40_s42
138,5,2026-08-03T15:22:18.213436,075_r3d_snapshot3_s42_v2_dev_p5,138_r3d_snapshot3_s42_v2_dev_p5,075_r3d_snapshot3_s42,138_r3d_snapshot3_s42
139,5,2026-08-03T15:35:24.131582,076_r3d_au02_full_s42_v2_dev_p5,139_r3d_au02_full_s42_v2_dev_p5,076_r3d_au02_full_s42,139_r3d_au02_full_s42
140,5,2026-08-03T15:48:08.493243,077_r3d_au05_full_s42_v2_dev_p5,140_r3d_au05_full_s42_v2_dev_p5,077_r3d_au05_full_s42,140_r3d_au05_full_s42
141,5,2026-08-03T16:01:38.588684,078_r3d_au10_full_s42_v2_dev_p5,141_r3d_au10_full_s42_v2_dev_p5,078_r3d_au10_full_s42,141_r3d_au10_full_s42
