run,stem,protocol,split,role,complete,UF1,UAR,ACC,n_folds,n_subjects,n_samples,backbone,input_mode,img_size,T,lr,seed,epochs,elapsed_sec,time
079_r3d_onset_apex_s123_v2_dev_p5,r3d_onset_apex_s123,protocol_v2,grouped 4-fold,dev,True,0.71193837535014,0.734421491130534,0.703125,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,123.0,25.0,1608.653020620346,2026-07-22T18:48:35.439111
080_fusion_full_seed42_123_50_50,fusion_full_seed42_123_50_50,fusion,0-fold,dev,True,0.6692811839323467,0.7005062008765014,0.671875,0,0,192,,,,,,,,,2026-07-22T18:49:26.157060
081_fusion_temporal_s123_50_50,fusion_temporal_s123_50_50,fusion,0-fold,dev,True,0.7029014320903146,0.7335059605237444,0.6927083333333334,0,0,192,,,,,,,,,2026-07-22T18:49:26.251517
082_fusion_apex_seed42_123_50_50,fusion_apex_seed42_123_50_50,fusion,0-fold,dev,True,0.7356014481434964,0.7533870083719133,0.71875,0,0,192,,,,,,,,,2026-07-22T18:49:26.495316
083_fusion_champion42_plus_apexensemble_50_50,fusion_champion42_plus_apexensemble_50_50,fusion,0-fold,dev,True,0.7033841258289721,0.7302426102758666,0.6927083333333334,0,0,192,,,,,,,,,2026-07-22T18:51:56.872521
084_fusion_temporal_seed42_123_equal4,fusion_temporal_seed42_123_equal4,fusion,0-fold,dev,True,0.7269839065113184,0.7616330734378756,0.7135416666666666,0,0,192,,,,,,,,,2026-07-22T18:52:11.956834
085_r3d_s2024_v2_dev_v2_dev_p5,r3d_s2024,protocol_v2,grouped 4-fold,dev,True,0.6895054325221206,0.7034990981155895,0.6927083333333334,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,2024.0,25.0,1556.087170124054,2026-07-22T19:21:31.534006
086_fusion_full_seed42_123_2024_equal,fusion_full_seed42_123_2024_equal,fusion,0-fold,dev,True,0.6902058214590183,0.7215197706989772,0.6927083333333334,0,0,192,,,,,,,,,2026-07-22T19:22:37.569214
087_r3d_onset_apex_s2024_v2_dev_p5,r3d_onset_apex_s2024,protocol_v2,grouped 4-fold,dev,True,0.7209562318310676,0.7389963924623577,0.7291666666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,2024.0,25.0,1508.4171035289764,2026-07-22T19:47:38.257564
088_fusion_temporal_s2024_50_50,fusion_temporal_s2024_50_50,fusion,0-fold,dev,True,0.7237938425823123,0.7364760579452311,0.7291666666666666,0,0,192,,,,,,,,,2026-07-22T19:48:48.862214
089_fusion_apex_seed42_123_2024_equal,fusion_apex_seed42_123_2024_equal,fusion,0-fold,dev,True,0.7208941413012142,0.7344552977566327,0.71875,0,0,192,,,,,,,,,2026-07-22T19:49:04.236265
090_fusion_temporal_seed42_123_2024_equal6,fusion_temporal_seed42_123_2024_equal6,fusion,0-fold,dev,True,0.7120320290048362,0.7308265888552695,0.7135416666666666,0,0,192,,,,,,,,,2026-07-22T19:49:18.183772
091_r3d_auto_apex_s42_v2_dev_p5,r3d_auto_apex_s42,protocol_v2,grouped 4-fold,dev,True,0.6706903407300457,0.7008422454787848,0.671875,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1824.1499943733215,2026-07-22T20:20:38.077791
092_r3d_oracle_apex_reuse_s42_v2_dev_p5,r3d_oracle_apex_reuse_s42,protocol_v2,grouped 4-fold,dev,True,0.6994697497624327,0.7087905651434592,0.6927083333333334,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,62.95506548881531,2026-07-23T14:25:18.603470
093_r3d_auto_apex_cap65_s42_v2_dev_p5,r3d_auto_apex_cap65_s42,protocol_v2,grouped 4-fold,dev,True,0.6574303105881857,0.689073047021535,0.65625,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,123.26589775085449,2026-07-23T14:27:49.921103
094_r3d_multihyp_apex_s42_v2_dev_p5,r3d_multihyp_apex_s42,protocol_v2,grouped 4-fold,dev,True,0.6654276582378386,0.7070371131612229,0.65625,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,80.85729026794434,2026-07-23T14:29:18.077522
095_r3d_multihyp15_apex_s42_v2_dev_p5,r3d_multihyp15_apex_s42,protocol_v2,grouped 4-fold,dev,True,0.6781384357162322,0.7090610181522489,0.671875,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,194.64071679115295,2026-07-23T14:32:45.396301
096_fusion_deployable_50full_50auto47,fusion_deployable_50full_50auto47,fusion,0-fold,dev,True,0.7020969197325786,0.7418392938570777,0.6979166666666666,0,0,192,,,,,,,,,2026-07-23T14:33:05.574996
097_fusion_deployable_50full_50multihyp48b,fusion_deployable_50full_50multihyp48b,fusion,0-fold,dev,True,0.6789249196611159,0.713600765085505,0.6770833333333334,0,0,192,,,,,,,,,2026-07-23T14:33:09.057664
098_r3d_auto_apex_onsetlate10_s42_v2_dev_p5,r3d_auto_apex_onsetlate10_s42,protocol_v2,grouped 4-fold,dev,True,0.6837403864361502,0.7138267416028159,0.6822916666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,159.36162972450256,2026-07-23T18:02:10.778878
099_r3d_auto_apex_onsetlate20_s42_v2_dev_p5,r3d_auto_apex_onsetlate20_s42,protocol_v2,grouped 4-fold,dev,True,0.6680017723550206,0.6962445443293596,0.6614583333333334,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,162.97255682945251,2026-07-23T18:05:04.590942
100_r3d_auto_apex_onsetlate30_s42_v2_dev_p5,r3d_auto_apex_onsetlate30_s42,protocol_v2,grouped 4-fold,dev,True,0.675687374209946,0.7093925701796355,0.6614583333333334,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,160.57883715629578,2026-07-23T18:07:55.911383
101_r3d_v2_dev_p5ck,r3d_res128,protocol_v2,grouped 4-fold,dev,True,0.6816450314669259,0.7119666471239658,0.6822916666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,857.6866524219513,2026-07-23T18:10:55.451611
102_r3d_hq_stabilized_v2_dev_p5,r3d_hq_tvl1_ecc,protocol_v2,grouped 4-fold,dev,True,0.5905963105963106,0.6024535636227226,0.6197916666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,913.5889444351196,2026-07-23T18:26:20.966396
103_r3d_face_roi_s42_v2_dev_p5,r3d_face_roi_s42,protocol_v2,grouped 4-fold,dev,True,0.637031206014117,0.6566800657712966,0.640625,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,1086.1929812431335,2026-07-23T18:44:38.161931
104_r3d_auto_apex_smooth2_s42_v2_dev_p5,r3d_auto_apex_smooth2_s42,protocol_v2,grouped 4-fold,dev,True,0.6625879887498859,0.6913184359549753,0.6666666666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,151.1108615398407,2026-07-23T18:44:58.141913
105_r3d_auto_apex_smooth4_s42_v2_dev_p5,r3d_auto_apex_smooth4_s42,protocol_v2,grouped 4-fold,dev,True,0.6622424887049323,0.6889661237389904,0.6666666666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,148.5921504497528,2026-07-23T18:47:36.527489
106_r3d_auto_apex_smooth6_s42_v2_dev_p5,r3d_auto_apex_smooth6_s42,protocol_v2,grouped 4-fold,dev,True,0.6687355887191592,0.693617286529688,0.671875,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,146.58002305030823,2026-07-23T18:50:12.576587
107_r3d_auto_apex_smooth10_s42_v2_dev_p5,r3d_auto_apex_smooth10_s42,protocol_v2,grouped 4-fold,dev,True,0.6697154632204019,0.6996517692883087,0.671875,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,42.0,25.0,148.39195036888123,2026-07-23T18:52:50.607383
108_r3d_auto_apex_s123_v2_dev_p5,r3d_auto_apex_s123,protocol_v2,grouped 4-fold,dev,True,0.7082124669940586,0.7524421637139218,0.703125,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,123.0,25.0,960.0623269081116,2026-07-23T19:00:49.128280
109_r3d_auto_apex_s2024_v2_dev_p5,r3d_auto_apex_s2024,protocol_v2,grouped 4-fold,dev,True,0.6924652067393897,0.7180394290835821,0.7083333333333334,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,2024.0,25.0,910.1081981658936,2026-07-23T19:16:09.963624
110_r3d_auto_apex_s7_v2_dev_p5,r3d_auto_apex_s7,protocol_v2,grouped 4-fold,dev,True,0.6760649775896705,0.7090641629546767,0.6770833333333334,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,7.0,25.0,993.1823899745941,2026-07-23T19:40:29.679837
111_r3d_auto_apex_s2025_v2_dev_p5,r3d_auto_apex_s2025,protocol_v2,grouped 4-fold,dev,True,0.660968910379089,0.7010898986699732,0.6666666666666666,4,21,192,r3d_18,rgb,128.0,16.0,0.0001,2025.0,25.0,853.2911760807037,2026-07-23T19:54:51.751177
