=== PROTOCOL V2 iter_106_focus_rnn_nopretrain_es_full_s42_v2_dev_loso_all_p5 ===
time: 2026-08-07T02:47:12.051284 | role: dev
device: cuda (NVIDIA GeForce RTX 3060)
platform: Windows-10-10.0.26200-SP0 | torch 2.6.0+cu124
loading 246 cached arrays
segmentation attention: 6 region per sampel dari regionmask144 (mode=static)
fixed split loaded: 21 development subjects, 5 sealed audit subjects
!! LOSO over ALL 26 subjects -- AUDIT SEAL BROKEN. This number is comparable to published LOSO results, and the audit split can no longer serve as an untouched final check.
fold 1/26: 25 train subjects / 1 validation subjects; 237 train / 9 validation samples
      [early-stop] inner-val subjects=[9, 11, 17, 18, 21, 22] n_fit=173 n_check=64
      ep17 train_loss=0.9057 train_acc=0.764 | val_loss=1.5100 val_acc=0.462
      ep18 train_loss=0.9203 train_acc=0.768 | val_loss=1.4501 val_acc=0.538
      ep19 train_loss=0.9154 train_acc=0.760 | val_loss=1.5523 val_acc=0.538
      ep20 train_loss=0.9289 train_acc=0.738 | val_loss=1.4715 val_acc=0.538
      ep21 train_loss=0.9193 train_acc=0.742 | val_loss=1.4840 val_acc=0.462
      saved re-evaluation checkpoint fold1_ep21.pt
      ep22 train_loss=0.8702 train_acc=0.785 | val_loss=1.4994 val_acc=0.462
      saved re-evaluation checkpoint fold1_ep22.pt
      ep23 train_loss=0.9432 train_acc=0.738 | val_loss=1.4760 val_acc=0.462
      saved re-evaluation checkpoint fold1_ep23.pt
fold result: UF1=0.3300 UAR=0.3300 ACC=0.4615
fold 3/26: 25 train subjects / 1 validation subjects; 239 train / 7 validation samples
      [early-stop] inner-val subjects=[9, 11, 17, 18, 21, 22] n_fit=175 n_check=64
      [probe] ep00 train_loss=1.7431 train_acc=0.274 check=-1.5992 best=-1.5992@ep00
      [probe] ep01 train_loss=1.5952 train_acc=0.337 check=-1.3828 best=-1.3828@ep01
      [probe] ep02 train_loss=1.5357 train_acc=0.377 check=-1.3421 best=-1.3421@ep02
      [probe] ep03 train_loss=1.5076 train_acc=0.451 check=-1.1866 best=-1.1866@ep03
      [probe] ep04 train_loss=1.4488 train_acc=0.474 check=-1.0903 best=-1.0903@ep04
      [probe] ep05 train_loss=1.3569 train_acc=0.429 check=-1.0010 best=-1.0010@ep05
      [probe] ep06 train_loss=1.3614 train_acc=0.520 check=-1.1394 best=-1.0010@ep05
      [probe] ep07 train_loss=1.4263 train_acc=0.469 check=-1.1456 best=-1.0010@ep05
      [probe] ep08 train_loss=1.3782 train_acc=0.497 check=-1.0566 best=-1.0010@ep05
      [probe] ep09 train_loss=1.3321 train_acc=0.543 check=-1.0794 best=-1.0010@ep05
      [probe] ep10 train_loss=1.3323 train_acc=0.497 check=-1.0298 best=-1.0010@ep05
      [probe] ep11 train_loss=1.3193 train_acc=0.646 check=-0.9178 best=-0.9178@ep11
      [probe] ep12 train_loss=1.2091 train_acc=0.577 check=-0.9067 best=-0.9067@ep12
      [probe] ep13 train_loss=1.2002 train_acc=0.611 check=-0.9586 best=-0.9067@ep12
      [probe] ep14 train_loss=1.1768 train_acc=0.514 check=-0.8630 best=-0.8630@ep14
      [probe] ep15 train_loss=1.1070 train_acc=0.623 check=-0.8929 best=-0.8630@ep14
      [probe] ep16 train_loss=1.1237 train_acc=0.663 check=-1.2277 best=-0.8630@ep14
      [probe] ep17 train_loss=1.1346 train_acc=0.594 check=-1.1264 best=-0.8630@ep14
      [probe] ep18 train_loss=1.1840 train_acc=0.697 check=-1.0126 best=-0.8630@ep14
      [probe] ep19 train_loss=1.0363 train_acc=0.743 check=-0.9204 best=-0.8630@ep14
      [probe] ep20 train_loss=1.0329 train_acc=0.720 check=-0.7002 best=-0.7002@ep20
      [probe] ep21 train_loss=1.0453 train_acc=0.680 check=-1.0513 best=-0.7002@ep20
      [probe] ep22 train_loss=1.1134 train_acc=0.600 check=-0.7813 best=-0.7002@ep20
      [probe] ep23 train_loss=1.0438 train_acc=0.640 check=-0.9208 best=-0.7002@ep20
      [probe] ep24 train_loss=1.0420 train_acc=0.686 check=-0.8358 best=-0.7002@ep20
      [probe] ep25 train_loss=0.9364 train_acc=0.760 check=-0.9227 best=-0.7002@ep20
      [probe] ep26 train_loss=0.9328 train_acc=0.766 check=-0.9794 best=-0.7002@ep20
      [probe] ep27 train_loss=1.0012 train_acc=0.720 check=-0.7629 best=-0.7002@ep20
      [probe] ep28 train_loss=0.9279 train_acc=0.823 check=-0.9071 best=-0.7002@ep20
      [probe] ep29 train_loss=0.8523 train_acc=0.789 check=-0.9585 best=-0.7002@ep20
      [probe] ep30 train_loss=0.8952 train_acc=0.806 check=-0.8648 best=-0.7002@ep20
      [probe] ep31 train_loss=0.9519 train_acc=0.766 check=-0.9882 best=-0.7002@ep20
      [probe] ep32 train_loss=0.9223 train_acc=0.777 check=-0.8004 best=-0.7002@ep20
      [probe] refit epochs = 21 (check=-0.7002)
      ep00 train_loss=1.6642 train_acc=0.276 | val_loss=1.9621 val_acc=0.000
      ep01 train_loss=1.4475 train_acc=0.423 | val_loss=1.7866 val_acc=0.143
      ep02 train_loss=1.3132 train_acc=0.427 | val_loss=1.7543 val_acc=0.143
      ep03 train_loss=1.3444 train_acc=0.490 | val_loss=1.3230 val_acc=0.429
      ep04 train_loss=1.2834 train_acc=0.540 | val_loss=1.6584 val_acc=0.286
      ep05 train_loss=1.1967 train_acc=0.523 | val_loss=1.8022 val_acc=0.143
      ep06 train_loss=1.1690 train_acc=0.623 | val_loss=1.9464 val_acc=0.286
      ep07 train_loss=1.1399 train_acc=0.561 | val_loss=1.3671 val_acc=0.286
      ep08 train_loss=1.0756 train_acc=0.594 | val_loss=2.0070 val_acc=0.286
